EF_W_ATM_STG_TANKS_CALC1OR2.FACILITY_NAME,EF_W_ATM_STG_TANKS_CALC1OR2.FACILITY_ID,EF_W_ATM_STG_TANKS_CALC1OR2.REPORTING_YEAR,EF_W_ATM_STG_TANKS_CALC1OR2.TABLE_NUM,EF_W_ATM_STG_TANKS_CALC1OR2.TABLE_DESC,EF_W_ATM_STG_TANKS_CALC1OR2.INDUSTRY_SEGMENT,EF_W_ATM_STG_TANKS_CALC1OR2.SUB_BASIN_IDENTIFIER,EF_W_ATM_STG_TANKS_CALC1OR2.COUNTY_AND_STATE,EF_W_ATM_STG_TANKS_CALC1OR2.CALCULATION_METHOD,EF_W_ATM_STG_TANKS_CALC1OR2.SOFTWARE_PACKAGE_USED,EF_W_ATM_STG_TANKS_CALC1OR2.TWO_YEAR_DELAY_INDICATOR,EF_W_ATM_STG_TANKS_CALC1OR2.TOTAL_VOLUME_OF_OIL,EF_W_ATM_STG_TANKS_CALC1OR2.AVERAGE_SEPARATOR_TEMPERATURE,EF_W_ATM_STG_TANKS_CALC1OR2.AVERAGE_SEPARATOR_PRESSURE,EF_W_ATM_STG_TANKS_CALC1OR2.AVERAGE_A_P_I_GRAVITY,EF_W_ATM_STG_TANKS_CALC1OR2.MIN_FLASH_CO2_CONCENTRATION,EF_W_ATM_STG_TANKS_CALC1OR2.MAX_GAS_CO2_CONCENTRATION,EF_W_ATM_STG_TANKS_CALC1OR2.MIN_FLASH_CH4_CONCENTRATION,EF_W_ATM_STG_TANKS_CALC1OR2.MAX_FLASH_CH4_CONCENTRATION,EF_W_ATM_STG_TANKS_CALC1OR2.NUMBER_OF_WELLS_SEND_OIL,EF_W_ATM_STG_TANKS_CALC1OR2.ATMOSPHERIC_TANK_COUNT,EF_W_ATM_STG_TANKS_CALC1OR2.NOT_ON_WELL_PAD_TANK_COUNT,EF_W_ATM_STG_TANKS_CALC1OR2.WERE_EMISSIONS_VAPOR_RECOVERY,EF_W_ATM_STG_TANKS_CALC1OR2.TANKS_WITH_VAPOR_RECOVERY,EF_W_ATM_STG_TANKS_CALC1OR2.ANNUAL_CO2_RECOVERED,EF_W_ATM_STG_TANKS_CALC1OR2.ANNUAL_CH4_RECOVERED,EF_W_ATM_STG_TANKS_CALC1OR2.VAPOR_RECOVERY_CO2_EMISSIONS,EF_W_ATM_STG_TANKS_CALC1OR2.VAPOR_RECOVERY_CH4_EMISSIONS,EF_W_ATM_STG_TANKS_CALC1OR2.WERE_EMISSIONS_VENT_TO_ATM,EF_W_ATM_STG_TANKS_CALC1OR2.TANKS_VENTING_TO_ATM,EF_W_ATM_STG_TANKS_CALC1OR2.VENTING_CO2_EMISSIONS,EF_W_ATM_STG_TANKS_CALC1OR2.VENTING_CH4_EMISSIONS,EF_W_ATM_STG_TANKS_CALC1OR2.WERE_EMISSIONS_FLARED,EF_W_ATM_STG_TANKS_CALC1OR2.TANKS_WITH_FLARING,EF_W_ATM_STG_TANKS_CALC1OR2.FLARING_CO2_EMISSIONS,EF_W_ATM_STG_TANKS_CALC1OR2.FLARING_CH4_EMISSIONS,EF_W_ATM_STG_TANKS_CALC1OR2.FLARING_N2O_EMISSIONS,EF_W_ATM_STG_TANKS_CALC1OR2.NUM_SEPS_WITH_STUCK_DUMP_VAL,EF_W_ATM_STG_TANKS_CALC1OR2.HRS_DUMP_VALVES_DID_NOT_CLOSE,EF_W_ATM_STG_TANKS_CALC1OR2.DUMP_VALVE_CO2_EMISSIONS,EF_W_ATM_STG_TANKS_CALC1OR2.DUMP_VALVE_CH4_EMISSIONS,EF_W_ATM_STG_TANKS_CALC1OR2.API_WELL_NUMBERS
BreitBurn Florida LLC,1010765,2015,Table J.1.,Wellhead gas-liquid separator or well with oil throughput greater than or equal to 10 barrels/day using Calculation Methodology 1 or 2,Onshore petroleum and natural gas production [98.230(a)(2)],140 - COLLIER  FL (21) - Oil,,Calculation Methodology 1,E&P Tanks,No,129364,75,12,24.2,.017,.017,.0545,.0545,2,7,0,Yes,7,2.121,7.86,.111,.4137,No,,,,No,,,,,,,,,
BreitBurn Florida LLC,1010765,2015,Table J.1.,Wellhead gas-liquid separator or well with oil throughput greater than or equal to 10 barrels/day using Calculation Methodology 1 or 2,Onshore petroleum and natural gas production [98.230(a)(2)],140 - LEE  FL (71) - Oil,,Calculation Methodology 1,E&P Tanks,No,52654,75,20,25.8,.017,.017,.0545,.0545,1,2,0,Yes,2,.8506243,3.1792758,.0448,.1673,No,,,,No,,,,,,,,,
Enervest Operating  L.L.C. 160 Appalachian Basin,1009967,2015,Table J.1.,Wellhead gas-liquid separator or well with oil throughput greater than or equal to 10 barrels/day using Calculation Methodology 1 or 2,Onshore petroleum and natural gas production [98.230(a)(2)],160 - WAYNE  OH (169) - High permeability gas,,Calculation Methodology 1,E&P Tanks ,No,4278.9,60,70,43.78,.0087,.0087,.35,.35,1,2,0,No,,,,,,Yes,2,0,.993,No,,,,,,,,,
Enervest Operating  L.L.C. 160 Appalachian Basin,1009967,2015,Table J.1.,Wellhead gas-liquid separator or well with oil throughput greater than or equal to 10 barrels/day using Calculation Methodology 1 or 2,Onshore petroleum and natural gas production [98.230(a)(2)],160 - CRAWFORD  PA (39) - High permeability gas,,Calculation Methodology 1,E&P Tanks ,No,3712.1,152,152,51,.0035,.0035,.36,.36,1,2,0,No,,,,,,Yes,2,.437,.624,No,,,,,,,,,
Enervest Operating  L.L.C. 160 Appalachian Basin,1009967,2015,Table J.1.,Wellhead gas-liquid separator or well with oil throughput greater than or equal to 10 barrels/day using Calculation Methodology 1 or 2,Onshore petroleum and natural gas production [98.230(a)(2)],160 - FAIRFIELD  OH (45) - High permeability gas,,Calculation Methodology 1,E&P Tanks ,No,4027.1,70,70,51,.0035,.0035,.36,.36,1,1,0,No,,,,,,Yes,2,.417,.673,No,,,,,,,,,
Enervest Operating  L.L.C. 160 Appalachian Basin,1009967,2015,Table J.1.,Wellhead gas-liquid separator or well with oil throughput greater than or equal to 10 barrels/day using Calculation Methodology 1 or 2,Onshore petroleum and natural gas production [98.230(a)(2)],160 - STARK  OH (151) - High permeability gas,,Calculation Methodology 1,E&P Tanks ,No,4406,60,70,43.78,.0087,.0087,.35,.35,1,2,0,No,,,,,,Yes,2,0,1.027,No,,,,,,,,,
Antero Resources - 160 - Appalachian Basin (Utica),1010718,2015,Table J.1.,Wellhead gas-liquid separator or well with oil throughput greater than or equal to 10 barrels/day using Calculation Methodology 1 or 2,Onshore petroleum and natural gas production [98.230(a)(2)],160 - NOBLE  OH (121) - Shale gas,,Calculation Methodology 1,Promax,No,2393590.6153936,65.9859155,11.9014085,72.4890161,.000022,.001143,.000966,.082209,71,114,0,No,,,,,,No,,,,Yes,114,40786.6,.8798314,.0658083,,,,,
CNX Gas Company LLC -160 Appalachian Basin,1008784,2015,Table J.1.,Wellhead gas-liquid separator or well with oil throughput greater than or equal to 10 barrels/day using Calculation Methodology 1 or 2,Onshore petroleum and natural gas production [98.230(a)(2)],160 - NOBLE  OH (121) - Shale gas,,Calculation Methodology 2,,No,4573,70,0,0,0,0,.3652018,.3652018,6,6,0,Yes,6,15.1218352,5.5197573,0,0,No,0,0,0,Yes,6,.0058132,.0021219,.0000016,,,,,
CNX Gas Company LLC -160 Appalachian Basin,1008784,2015,Table J.1.,Wellhead gas-liquid separator or well with oil throughput greater than or equal to 10 barrels/day using Calculation Methodology 1 or 2,Onshore petroleum and natural gas production [98.230(a)(2)],160 - NOBLE  OH (121) - Shale gas,,Calculation Methodology 2,,No,4817,70,0,0,0,0,.3652018,.3652018,6,6,0,Yes,6,15.9286858,5.8142731,0,0,No,0,0,0,Yes,6,.0061234,.0022351,.0000016,,,,,
CNX Gas Company LLC -160 Appalachian Basin,1008784,2015,Table J.1.,Wellhead gas-liquid separator or well with oil throughput greater than or equal to 10 barrels/day using Calculation Methodology 1 or 2,Onshore petroleum and natural gas production [98.230(a)(2)],160 - NOBLE  OH (121) - Shale gas,,Calculation Methodology 2,,No,3700,70,0,0,0,0,.3652018,.3652018,6,6,0,Yes,6,12.2350296,4.4660184,0,0,No,0,0,0,Yes,6,.0047034,.0017168,.0000013,,,,,
