EF_W_ATM_STG_TANKS_CALC3.FACILITY_NAME,EF_W_ATM_STG_TANKS_CALC3.FACILITY_ID,EF_W_ATM_STG_TANKS_CALC3.REPORTING_YEAR,EF_W_ATM_STG_TANKS_CALC3.TABLE_NUM,EF_W_ATM_STG_TANKS_CALC3.TABLE_DESC,EF_W_ATM_STG_TANKS_CALC3.INDUSTRY_SEGMENT,EF_W_ATM_STG_TANKS_CALC3.FRACT_OIL_THROUGHPUT_FLARING,EF_W_ATM_STG_TANKS_CALC3.FRACT_THROUGHPUT_WITH_VAPOR,EF_W_ATM_STG_TANKS_CALC3.ATMOSPHERIC_TANK_COUNT,EF_W_ATM_STG_TANKS_CALC3.WELLS_WITH_SEPS,EF_W_ATM_STG_TANKS_CALC3.WELLS_WITHOUT_SEPS,EF_W_ATM_STG_TANKS_CALC3.TWO_YEAR_DELAY_INDICATOR,EF_W_ATM_STG_TANKS_CALC3.ANNUAL_OIL_THROUGHPUT,EF_W_ATM_STG_TANKS_CALC3.SUB_BASIN_IDENTIFIER,EF_W_ATM_STG_TANKS_CALC3.COUNTY_AND_STATE,EF_W_ATM_STG_TANKS_CALC3.TANKS_WITHOUT_FLARES,EF_W_ATM_STG_TANKS_CALC3.CO2_EMISSIONS_NOT_FLARED,EF_W_ATM_STG_TANKS_CALC3.CH4_EMISSIONS_NOT_FLARED,EF_W_ATM_STG_TANKS_CALC3.TANKS_WITH_FLARES,EF_W_ATM_STG_TANKS_CALC3.CO2_EMISSIONS_FROM_FLARE,EF_W_ATM_STG_TANKS_CALC3.CH4_EMISSIONS_FROM_FLARE,EF_W_ATM_STG_TANKS_CALC3.N2O_EMISSIONS_FROM_FLARE
Newfield.395.Williston Basin,1009261,2015,Table J.2.i,Wells and separators with oil throughput <10 barrels/day using Calculation Methodology 3,Onshore petroleum and natural gas production [98.230(a)(2)],.448,0,269,267,0,No,8256206.72,,,,,,,,,
XTO Energy Inc 345 Arkoma,1009392,2015,Table J.2.i,Wells and separators with oil throughput <10 barrels/day using Calculation Methodology 3,Onshore petroleum and natural gas production [98.230(a)(2)],0,0,6,6,0,No,553.0115,,,,,,,,,
Breitburn Operating LP 430 Permian,1009813,2015,Table J.2.i,Wells and separators with oil throughput <10 barrels/day using Calculation Methodology 3,Onshore petroleum and natural gas production [98.230(a)(2)],.127,0,313,109,39,No,393152,,,,,,,,,
Bluestone Natural Resources 400 Ouachita Folded Belt,1009860,2015,Table J.2.i,Wells and separators with oil throughput <10 barrels/day using Calculation Methodology 3,Onshore petroleum and natural gas production [98.230(a)(2)],0,0,17,96,0,No,0,,,,,,,,,
Midstates Petroleum - Anadarko Basin,1010701,2015,Table J.2.i,Wells and separators with oil throughput <10 barrels/day using Calculation Methodology 3,Onshore petroleum and natural gas production [98.230(a)(2)],0,0,388,111,52,No,168444.6,,,,,,,,,
Helis Oil & Gas Company Powder River Basin (515) Operations,1009126,2015,Table J.2.i,Wells and separators with oil throughput <10 barrels/day using Calculation Methodology 3,Onshore petroleum and natural gas production [98.230(a)(2)],1,0,3,1,0,No,872.24,,,,,,,,,
Anadarko Basin,1008200,2015,Table J.2.i,Wells and separators with oil throughput <10 barrels/day using Calculation Methodology 3,Onshore petroleum and natural gas production [98.230(a)(2)],.145,0,239,121,0,No,67935,,,,,,,,,
Tapstone 360 Anadarko,1012024,2015,Table J.2.i,Wells and separators with oil throughput <10 barrels/day using Calculation Methodology 3,Onshore petroleum and natural gas production [98.230(a)(2)],0,0,744,527,94,No,256606.479145,,,,,,,,,
Lime Rock Resources Fort Worth Syncline (420),1007476,2015,Table J.2.i,Wells and separators with oil throughput <10 barrels/day using Calculation Methodology 3,Onshore petroleum and natural gas production [98.230(a)(2)],.58,0,642,525,6,No,146738.19,,,,,,,,,
ConocoPhillips' Permian (430),1007479,2015,Table J.2.i,Wells and separators with oil throughput <10 barrels/day using Calculation Methodology 3,Onshore petroleum and natural gas production [98.230(a)(2)],.06,.02,118,63,10,No,27058.8,,,,,,,,,
