EF_W_EQUIP_LEAKS_ONSHORE.FACILITY_NAME,EF_W_EQUIP_LEAKS_ONSHORE.FACILITY_ID,EF_W_EQUIP_LEAKS_ONSHORE.REPORTING_YEAR,EF_W_EQUIP_LEAKS_ONSHORE.TABLE_NUM,EF_W_EQUIP_LEAKS_ONSHORE.TABLE_DESC,EF_W_EQUIP_LEAKS_ONSHORE.INDUSTRY_SEGMENT,EF_W_EQUIP_LEAKS_ONSHORE.LOCATION,EF_W_EQUIP_LEAKS_ONSHORE.SOURCE_TYPE_COUNT,EF_W_EQUIP_LEAKS_ONSHORE.AVERAGE_TIME_OPERATIONAL,EF_W_EQUIP_LEAKS_ONSHORE.CO2_EMISSIONS,EF_W_EQUIP_LEAKS_ONSHORE.CH4_EMISSIONS,EF_W_EQUIP_LEAKS_ONSHORE.EQUIPMENT_TYPE_CALC_METHOD,EF_W_EQUIP_LEAKS_ONSHORE.EQUIPMENT_TYPE,EF_W_EQUIP_LEAKS_ONSHORE.EQUIPMENT_PRESENT,EF_W_EQUIP_LEAKS_ONSHORE.EQUIPMENT_TYPE_COUNT,EF_W_EQUIP_LEAKS_ONSHORE.MAJ_EQ_TYPE_COUNT_EAST,EF_W_EQUIP_LEAKS_ONSHORE.MAJ_EQ_TYPE_COUNT_WEST,EF_W_EQUIP_LEAKS_ONSHORE.EMISSION_SRC_TYPE,EF_W_EQUIP_LEAKS_ONSHORE.SERVICE_TYPE
350 South Oklahoma Folded Belt,1009119,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],,,,,,Component Count Method 1,Wellhead,No,,,,,
350 South Oklahoma Folded Belt,1009119,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],,,,,,Component Count Method 1,Separators,No,,,,,
350 South Oklahoma Folded Belt,1009119,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],,,,,,Component Count Method 1,Meters/piping,No,,,,,
350 South Oklahoma Folded Belt,1009119,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],,,,,,Component Count Method 1,Compressors,No,,,,,
350 South Oklahoma Folded Belt,1009119,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],,,,,,Component Count Method 1,In-line heaters,No,,,,,
350 South Oklahoma Folded Belt,1009119,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],,,,,,Component Count Method 1,Dehydrators,No,,,,,
Chevron MCA 535 Green River Basin,1009052,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],Western U.S.,,,,,Component Count Method 1,Wellhead,Yes,294,,,,
Chevron MCA 535 Green River Basin,1009052,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],Western U.S.,,,,,Component Count Method 1,Separators,Yes,305,,,,
Chevron MCA 535 Green River Basin,1009052,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],Western U.S.,,,,,Component Count Method 1,Meters/piping,Yes,412,,,,
Chevron MCA 535 Green River Basin,1009052,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],Western U.S.,,,,,Component Count Method 1,Compressors,Yes,4,,,,
Chevron MCA 535 Green River Basin,1009052,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],Western U.S.,,,,,Component Count Method 1,In-line heaters,Yes,324,,,,
Chevron MCA 535 Green River Basin,1009052,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],Western U.S.,,,,,Component Count Method 1,Dehydrators,Yes,240,,,,
EOG Resources  Inc. 395 Williston basin,1008980,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],Western U.S.,,,,,Component Count Method 1,Wellhead,Yes,6,,,,
EOG Resources  Inc. 395 Williston basin,1008980,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],Western U.S.,,,,,Component Count Method 1,Separators,Yes,8,,,,
EOG Resources  Inc. 395 Williston basin,1008980,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],Western U.S.,,,,,Component Count Method 1,Meters/piping,Yes,6,,,,
EOG Resources  Inc. 395 Williston basin,1008980,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],,,,,,Component Count Method 1,Compressors,No,,,,,
EOG Resources  Inc. 395 Williston basin,1008980,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],Western U.S.,,,,,Component Count Method 1,In-line heaters,Yes,2,,,,
EOG Resources  Inc. 395 Williston basin,1008980,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],,,,,,Component Count Method 1,Dehydrators,No,,,,,
Chesapeake Operating LLC  230 - Arkla Basin,1008527,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],Western U.S.,,,,,Component Count Method 1,Wellhead,Yes,815,,,,
Chesapeake Operating LLC  230 - Arkla Basin,1008527,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],Western U.S.,,,,,Component Count Method 1,Separators,Yes,845,,,,
Chesapeake Operating LLC  230 - Arkla Basin,1008527,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],Western U.S.,,,,,Component Count Method 1,Meters/piping,Yes,666,,,,
Chesapeake Operating LLC  230 - Arkla Basin,1008527,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],Western U.S.,,,,,Component Count Method 1,Compressors,Yes,30,,,,
Chesapeake Operating LLC  230 - Arkla Basin,1008527,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],Western U.S.,,,,,Component Count Method 1,In-line heaters,Yes,32,,,,
Chesapeake Operating LLC  230 - Arkla Basin,1008527,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],Western U.S.,,,,,Component Count Method 1,Dehydrators,Yes,3,,,,
Cabot Oil & Gas Corporation 160A Appalachian Basin (Eastern Overthrust area),1008503,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],Eastern U.S.,,,,,Component Count Method 2,Wellhead,Yes,523,,,,
Cabot Oil & Gas Corporation 160A Appalachian Basin (Eastern Overthrust area),1008503,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],Eastern U.S.,,,,,Component Count Method 2,Separators,Yes,780,,,,
Cabot Oil & Gas Corporation 160A Appalachian Basin (Eastern Overthrust area),1008503,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],Eastern U.S.,,,,,Component Count Method 2,Meters/piping,Yes,216,,,,
Cabot Oil & Gas Corporation 160A Appalachian Basin (Eastern Overthrust area),1008503,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],,,,,,Component Count Method 2,Compressors,No,,,,,
Cabot Oil & Gas Corporation 160A Appalachian Basin (Eastern Overthrust area),1008503,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],,,,,,Component Count Method 2,In-line heaters,No,,,,,
Cabot Oil & Gas Corporation 160A Appalachian Basin (Eastern Overthrust area),1008503,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],,,,,,Component Count Method 2,Dehydrators,No,,,,,
Repsol Oil & Gas USA  LLC Appalachian basin (Eastern Overthrust area) - 160A,1008481,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],Eastern U.S.,,,,,Component Count Method 1,Wellhead,Yes,502,,,,
Repsol Oil & Gas USA  LLC Appalachian basin (Eastern Overthrust area) - 160A,1008481,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],Eastern U.S.,,,,,Component Count Method 1,Separators,Yes,350,,,,
Point Thomson Production Facility,1011831,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],,,,,,,Wellhead,,,,,,
Point Thomson Production Facility,1011831,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],,,,,,,Separators,,,,,,
Point Thomson Production Facility,1011831,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],,,,,,,Meters/piping,,,,,,
Point Thomson Production Facility,1011831,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],,,,,,,Compressors,,,,,,
Point Thomson Production Facility,1011831,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],,,,,,,In-line heaters,,,,,,
Point Thomson Production Facility,1011831,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],,,,,,,Dehydrators,,,,,,
Repsol Oil & Gas USA  LLC Appalachian basin (Eastern Overthrust area) - 160A,1008481,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],Eastern U.S.,,,,,Component Count Method 1,Meters/piping,Yes,194,,,,
Repsol Oil & Gas USA  LLC Appalachian basin (Eastern Overthrust area) - 160A,1008481,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],Eastern U.S.,,,,,Component Count Method 1,Compressors,Yes,2,,,,
Repsol Oil & Gas USA  LLC Appalachian basin (Eastern Overthrust area) - 160A,1008481,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],Eastern U.S.,,,,,Component Count Method 1,In-line heaters,Yes,585,,,,
Repsol Oil & Gas USA  LLC Appalachian basin (Eastern Overthrust area) - 160A,1008481,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],Eastern U.S.,,,,,Component Count Method 1,Dehydrators,Yes,4,,,,
Approach Operating  LLC 430 Permian Basin,1008456,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],Western U.S.,,,,,Component Count Method 1,Wellhead,Yes,619,,,,
Approach Operating  LLC 430 Permian Basin,1008456,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],Western U.S.,,,,,Component Count Method 1,Separators,Yes,529,,,,
Approach Operating  LLC 430 Permian Basin,1008456,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],Western U.S.,,,,,Component Count Method 1,Meters/piping,Yes,619,,,,
Approach Operating  LLC 430 Permian Basin,1008456,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],Western U.S.,,,,,Component Count Method 1,Compressors,Yes,12,,,,
Approach Operating  LLC 430 Permian Basin,1008456,2015,Table R.4,Natural gas production equipment (Table W-1B),Onshore petroleum and natural gas production [98.230(a)(2)],,,,,,Component Count Method 1,In-line heaters,No,,,,,
