GAS_SENT_TO_FLARE,FLARE_FEED_GAS_CH4_MOLE_FRACT
25388580,0.706
25388580,0.706
26775,0.8627
26775,0.8627
26775,0.8627
26775,0.8627
26775,0.8627
26775,0.8627
26775,0.8627
26775,0.8627
26775,0.8627
26775,0.8627
26775,0.8627
26775,0.8627
26775,0.8627
26775,0.8627
26775,0.8627
26775,0.8627
26775,0.8627
26775,0.8627
26775,0.8627
26775,0.8627
26775,0.8627
26775,0.8627
26775,0.8627
26775,0.8627
26775,0.8627
26775,0.8627
26775,0.8627
26775,0.8627
26775,0.8627
26775,0.8627
26775,0.8627
26775,0.8627
40800,0.8627
40800,0.8627
78412.5,0.8627
78412.5,0.8627
78412.5,0.8627
78412.5,0.8627
78412.5,0.8627
78412.5,0.8627
78412.5,0.8627
78412.5,0.8627
6130954.35,0.0418
6130954.35,0.0418
78412.5,0.8627
78412.5,0.8627
78412.5,0.8627
78412.5,0.8627
78412.5,0.8627
78412.5,0.8627
78412.5,0.8627
78412.5,0.8627
78412.5,0.8627
78412.5,0.8627
191799.2383,0.0418
191799.2383,0.0418
78412.5,0.8627
78412.5,0.8627
78412.5,0.8627
78412.5,0.8627
78412.5,0.8627
78412.5,0.8627
23680827.53,0.0418
23680827.53,0.0418
78412.5,0.8627
78412.5,0.8627
78412.5,0.8627
78412.5,0.8627
78412.5,0.8627
78412.5,0.8627
78412.5,0.8627
78412.5,0.8627
78412.5,0.8627
78412.5,0.8627
78412.5,0.8627
78412.5,0.8627
78412.5,0.8627
78412.5,0.8627
78412.5,0.8627
78412.5,0.8627
78412.5,0.8627
78412.5,0.8627
78412.5,0.8627
78412.5,0.8627
78412.5,0.8627
78412.5,0.8627
78412.5,0.8627
78412.5,0.8627
78412.5,0.8627
78412.5,0.8627
78412.5,0.8627
78412.5,0.8627
78412.5,0.8627
78412.5,0.8627
78412.5,0.8627
78412.5,0.8627
715889.1441,0.0418
715889.1441,0.0418
16226427.54,0.0418
16226427.54,0.0418
78412.5,0.8627
78412.5,0.8627
78412.5,0.8627
78412.5,0.8627
78412.5,0.8627
78412.5,0.8627
78412.5,0.8627
78412.5,0.8627
78412.5,0.8627
78412.5,0.8627
78412.5,0.8627
78412.5,0.8627
15032303.05,0.0418
15032303.05,0.0418
78412.5,0.8627
78412.5,0.8627
78412.5,0.8627
78412.5,0.8627
78412.5,0.8627
78412.5,0.8627
78412.5,0.8627
78412.5,0.8627
78412.5,0.8627
78412.5,0.8627
78412.5,0.8627
78412.5,0.8627
78412.5,0.8627
78412.5,0.8627
78412.5,0.8627
78412.5,0.8627
78412.5,0.8627
78412.5,0.8627
78412.5,0.8627
78412.5,0.8627
78412.5,0.8627
78412.5,0.8627
78412.5,0.8627
78412.5,0.8627
78412.5,0.8627
78412.5,0.8627
17361464.23,0.0418
17361464.23,0.0418
40000953.82,0.0418
40000953.82,0.0418
78412.5,0.8627
78412.5,0.8627
1368445.777,0.0418
1368445.777,0.0418
11987044.63,0.0418
11987044.63,0.0418
78412.5,0.8627
78412.5,0.8627
6183836.59,0.0418
6183836.59,0.0418
4533936.266,0.0418
4533936.266,0.0418
78412.5,0.8627
78412.5,0.8627
78412.5,0.8627
78412.5,0.8627
78412.5,0.8627
78412.5,0.8627
12523527.52,0.0418
12523527.52,0.0418
78412.5,0.8627
78412.5,0.8627
78412.5,0.8627
78412.5,0.8627
78412.5,0.8627
78412.5,0.8627
78412.5,0.8627
78412.5,0.8627
78412.5,0.8627
78412.5,0.8627
78412.5,0.8627
78412.5,0.8627
78412.5,0.8627
78412.5,0.8627
3571797.169,0.2915
3571797.169,0.2915
78412.5,0.8627
78412.5,0.8627
78412.5,0.8627
78412.5,0.8627
7053476.727,0.5398128
7053476.727,0.5398128
7022915.991,0.19
7022915.991,0.19
6993637.976,0.5718803
6993637.976,0.5718803
6992124.952,0.5995974
6992124.952,0.5995974
6950851.115,0.5844935
6950851.115,0.5844935
6927814.937,0.5718803
6927814.937,0.5718803
6926722.648,0.19
6926722.648,0.19
6908792.717,0.569527
6908792.717,0.569527
6887376.164,0.5844935
6887376.164,0.5844935
6854755.305,0.19
6854755.305,0.19
6842107.52,0.5844935
6842107.52,0.5844935
6831947.303,0.599424
6831947.303,0.599424
6829826.321,0.5995974
6829826.321,0.5995974
6807155.671,0.1749229
6807155.671,0.1749229
6798096.824,0.5398128
6798096.824,0.5398128
6791039.52,0.5844935
6791039.52,0.5844935
6742794.42,0.19
6742794.42,0.19
6716848.077,0.5995974
6716848.077,0.5995974
6691282.595,0.1749229
6691282.595,0.1749229
6681258.069,0.5844935
6681258.069,0.5844935
6605444.452,0.5995974
6605444.452,0.5995974
6576305.143,0.5844935
6576305.143,0.5844935
6545287.238,0.5995974
6545287.238,0.5995974
6512450.869,0.5995974
6512450.869,0.5995974
6510160.462,0.5398128
6510160.462,0.5398128
6474067.597,0.5844935
6474067.597,0.5844935
6471313.298,0.5844935
6471313.298,0.5844935
6439977.979,0.5995974
6439977.979,0.5995974
6437652.409,0.5844935
6437652.409,0.5844935
6415046.096,0.5398128
6415046.096,0.5398128
6360616.692,0.5995974
6360616.692,0.5995974
6303947.853,0.5995974
6303947.853,0.5995974
6287384.904,0.5844935
6287384.904,0.5844935
6257653.129,0.5720197
6257653.129,0.5720197
6253855.735,0.5398128
6253855.735,0.5398128
6221757.902,0.5995974
6221757.902,0.5995974
6209479.495,0.5398128
6209479.495,0.5398128
6203122.792,0.5995974
6203122.792,0.5995974
6166891.88,0.5844935
6166891.88,0.5844935
6163289.878,0.5995974
6163289.878,0.5995974
6142849.838,0.5844935
6142849.838,0.5844935
6129976.442,0.5720197
6129976.442,0.5720197
6096252.288,0.5398128
6096252.288,0.5398128
6009438.776,0.5844935
6009438.776,0.5844935
5976651.027,0.5995974
5976651.027,0.5995974
5967699.207,0.19
5967699.207,0.19
5929168.875,0.5720197
5929168.875,0.5720197
5928102.176,0.5844935
5928102.176,0.5844935
5913316.618,0.5720197
5913316.618,0.5720197
5882345.663,0.5995974
5882345.663,0.5995974
5862152.646,0.19
5862152.646,0.19
5838970.46,0.5398128
5838970.46,0.5398128
5809387.843,0.5995974
5809387.843,0.5995974
5796465.69,0.5844935
5796465.69,0.5844935
5705788.758,0.5844935
5705788.758,0.5844935
5696331.37,0.19
5696331.37,0.19
5670878.853,0.3629321
5670878.853,0.3629321
5662420.083,0.5995974
5662420.083,0.5995974
5653103.681,0.5995974
5653103.681,0.5995974
5629999.973,0.5995974
5629999.973,0.5995974
5614862.607,0.5995974
5614862.607,0.5995974
5576955.973,0.19
5576955.973,0.19
5520654.68,0.5995974
5520654.68,0.5995974
5496847.245,0.5720197
5496847.245,0.5720197
5470156.62,0.5398128
5470156.62,0.5398128
5425136.24,0.5398128
5425136.24,0.5398128
5373993.94,0.5995974
5373993.94,0.5995974
5341997.603,0.599424
5341997.603,0.599424
5341320.684,0.5995974
5341320.684,0.5995974
5331200.435,0.5995974
5331200.435,0.5995974
5298996.034,0.5844935
5298996.034,0.5844935
5277527.822,0.5844935
5277527.822,0.5844935
5239880.254,0.1749229
5239880.254,0.1749229
5227422.217,0.5398128
