Study,Equipment,Component,EmissionsKgD
API1993,NR,TC,0.098289
API1993,NR,TC,0.033827
API1993,NR,TC,0.00714
API1993,NR,TC,0.033619
API1993,NR,OEL,0.018841
API1993,NR,VL,0.01814
API1993,NR,VL,0.054039
API1993,NR,VL,0.002139
API1993,NR,VL,0.001493
API1993,NR,VL,0.024583
API1993,NR,VL,0.001434
API1993,NR,VL,0.002011
API1993,NR,TC,0.010998
API1993,NR,OEL,0.006456
API1993,NR,OEL,0.023656
API1993,NR,OEL,0.000172
API1993,NR,OEL,0.000078
API1993,NR,PRV,0.00062
API1993,NR,VL,0.092128
API1993,NR,VL,0.007328
API1993,NR,VL,0.001669
API1993,NR,VL,0.00014
API1993,NR,VL,0.007221
API1993,NR,OEL,0.024137
API1993,NR,OTH,0.028596
API1993,NR,OEL,0.010122
API1993,NR,OEL,0.001267
API1993,NR,OEL,0.001463
API1993,NR,TC,0.002344
API1993,NR,TC,0.001397
API1993,NR,TC,0.000254
API1993,NR,OTH,0.000063
API1993,NR,OEL,0.00328
API1993,NR,VL,0.007697
API1993,NR,VL,0.022631
API1993,NR,TC,0
API1993,NR,CS,0.022331
API1993,NR,OEL,0
API1993,NR,OEL,0
API1993,NR,OEL,0
API1993,NR,OEL,0
API1993,NR,OEL,0
API1993,NR,OEL,0
API1993,NR,PRV,0
API1993,NR,PRV,0
API1993,NR,PRV,0.00644
API1993,NR,PRV,0
API1993,NR,VL,0
API1993,NR,VL,0
ERG2011,NR,TH,0.74966
ERG2011,NR,TC,0.896311
ERG2011,NR,TC,0.060068
ERG2011,NR,OTH,0.013408
ERG2011,NR,OTH,0.002741
ERG2011,NR,OTH,0.008336
ERG2011,NR,TC,0.049085
ERG2011,NR,TC,0.253207
ERG2011,NR,TC,0.003416
ERG2011,NR,OTH,0.38379
ERG2011,NR,TC,14.730456
ERG2011,NR,TC,0.001009
ERG2011,NR,TC,0.000081
ERG2011,NR,TC,0.023372
ERG2011,NR,OTH,0.065156
ERG2011,NR,TC,0.00021
ERG2011,NR,TH,0.002308
ERG2011,NR,TC,0.003295
ERG2011,NR,TC,0.027296
ERG2011,NR,TC,0.063994
ERG2011,NR,OTH,0.009056
ERG2011,NR,VL,0.000688
ERG2011,NR,TC,0.003465
ERG2011,NR,TC,0.003539
ERG2011,NR,TC,0.028378
ERG2011,NR,TC,0.068207
ERG2011,NR,TC,0.008335
ERG2011,NR,TC,0.013253
ERG2011,NR,VL,0.025974
ERG2011,NR,TC,0.306096
ERG2011,NR,TC,0.00387
ERG2011,NR,TC,0.631221
ERG2011,NR,TC,0.003416
ERG2011,NR,TC,0.005411
ERG2011,NR,VL,0.2297
ERG2011,NR,TC,0.013012
ERG2011,NR,VL,0.00036
ERG2011,NR,TH,0.427443
ERG2011,NR,TC,0.003127
ERG2011,NR,TC,0.391867
ERG2011,NR,VL,0.026861
ERG2011,NR,VL,0.077321
ERG2011,NR,VL,0.196806
ERG2011,NR,TC,0.209841
ERG2011,NR,VL,0.39857
ERG2011,NR,TH,4.432881
ERG2011,NR,VL,0.003346
ERG2011,NR,TC,0.028317
ERG2011,NR,TC,0.065082
ERG2011,NR,OTH,0.047604
ERG2011,NR,TC,0.984332
ERG2011,NR,VL,0.005769
ERG2011,NR,NR,0.004255
ERG2011,NR,NR,0.006457
ERG2011,NR,VT,0.000235
ERG2011,NR,OTH,0.00043
ERG2011,NR,OTH,0.039579
ERG2011,NR,VL,2.196647
ERG2011,NR,OTH,0.015374
ERG2011,NR,TC,0.62256
ERG2011,NR,TH,0.670529
ERG2011,NR,TC,1.109352
ERG2011,NR,TC,0.004588
ERG2011,NR,NR,0.001865
ERG2011,NR,VL,0.000251
ERG2011,NR,TC,0.002784
ERG2011,NR,TC,0.005202
