Study,Equipment,Component,EmissionsKgD
Allen2013,NR,CIP,7.650554013
Allen2013,NR,CIP,9.120216249
Allen2013,NR,CIP,10.48135101
Allen2013,NR,CIP,5.710892397
Allen2013,NR,CIP,8.496136979
Allen2013,NR,CIP,18.08072108
Allen2013,NR,CIP,8.047641592
Allen2013,NR,CIP,8.595884815
Allen2013,NR,CIP,7.861653093
Allen2013,NR,CIP,3.825425372
Allen2013,NR,CIP,55.45547677
Allen2013,NR,CIP,21.9165414
Allen2013,NR,CIP,6.842488278
Allen2013,NR,CIP,19.4030421
Allen2013,NR,CIP,0.720352461
Allen2013,NR,CIP,16.37801578
Allen2013,NR,CIP,9.162222529
Allen2013,NR,CIP,1.732683917
Allen2013,NR,CIP,5.723107483
Allen2013,NR,CIP,36.78480541
Allen2013,NR,CIP,13.78787112
Allen2013,NR,CIP,0.056956807
Allen2013,NR,CIP,5.671562764
Allen2013,NR,CIP,1.807965423
Allen2013,NR,CIP,0.767766138
Allen2013,NR,CIP,1.164032532
Allen2013,NR,CIP,2.62526486
Allen2013,NR,CIP,1.585065576
Allen2013,NR,CIP,1.007560028
Allen2013,NR,CIP,1.103359002
Allen2013,NR,CIP,1.260981717
Allen2013,NR,CIP,1.786390766
Allen2013,NR,CIP,0.735572668
Allen2013,NR,CIP,0.210269614
Allen2013,NR,CIP,0.446822931
Allen2013,NR,CIP,0.551957738
Allen2013,NR,CIP,0.421197281
Allen2013,NR,CIP,0.684445581
Allen2013,NR,CIP,0.658120751
Allen2013,NR,CIP,4.211972805
Allen2013,NR,CIP,0.763420071
Allen2013,NR,CIP,0.180860443
Allen2013,NR,CIP,1.024547645
Allen2013,NR,CIP,1.444874884
Allen2013,NR,CIP,0.919465835
Allen2013,NR,CIP,0.893195383
Allen2013,NR,CIP,1.18217036
Allen2013,NR,CIP,1.016721411
Allen2013,NR,CIP,1.016721411
Allen2013,NR,CIP,1.013933248
Allen2013,NR,CIP,1.585895593
Allen2013,NR,CIP,1.507900728
Allen2013,NR,CIP,3.873744974
Allen2013,NR,CIP,1.247917844
Allen2013,NR,CIP,3.408699752
Allen2013,NR,CIP,0.445753044
Allen2013,NR,CIP,0.183545371
Allen2013,NR,CIP,1.98191853
Allen2013,NR,CIP,0.63421393
Allen2013,NR,CIP,1.083448797
Allen2013,NR,CIP,1.057023216
Allen2013,NR,CIP,0.392371633
Allen2013,OTH,OTH,0.264172996
Allen2013,SE,REG,1.043375819
Allen2013,SE,REG,3.210387136
Allen2013,WG,VT,0.922557354
Allen2013,WG,VT,1.476091766
Allen2013,SE,OTH,0
Allen2013,SE,VT,14.5187582
Allen2013,SE,VT,33.15517527
Allen2013,SE,REG,4.300292238
Allen2013,SE,REG,0
Allen2013,SE,REG,0.934846139
Allen2013,WG,VL,28.47274239
Allen2013,SE,OTH,0
Allen2013,WG,VT,2.225645273
Allen2013,SE,VT,5.667631568
Allen2013,SE,VT,23.55759989
Allen2013,WG,OTH,2.143810577
Allen2013,WG,OTH,0.679744817
Allen2013,WG,OTH,1.333345602
Allen2013,WG,OTH,1.986946388
Allen2013,WG,VT,1.307201571
Allen2013,SE,VT,2.675081365
Allen2013,SE,OTH,0.157844641
Allen2013,SE,OTH,0.131537201
Allen2013,OTH,REG,0
Allen2013,WG,VT,3.998730917
Allen2013,SE,VT,1.613054857
Allen2013,SE,VT,1.348619635
Allen2013,SE,REG,0
Allen2013,SE,VT,1.903933602
Allen2013,SE,VT,0.449539878
Allen2013,SE,VT,0
Allen2013,WG,VT,0.81974919
Allen2013,WG,VT,2.750126314
