EF_W_COMP_WORKOVERS_FRAC.FACILITY_NAME,EF_W_COMP_WORKOVERS_FRAC.FACILITY_ID,EF_W_COMP_WORKOVERS_FRAC.REPORTING_YEAR,EF_W_COMP_WORKOVERS_FRAC.TABLE_NUM,EF_W_COMP_WORKOVERS_FRAC.TABLE_DESC,EF_W_COMP_WORKOVERS_FRAC.INDUSTRY_SEGMENT,EF_W_COMP_WORKOVERS_FRAC.SUB_BASIN_IDENTIFIER,EF_W_COMP_WORKOVERS_FRAC.WELL_TYPE,EF_W_COMP_WORKOVERS_FRAC.IS_GAS_FLARED,EF_W_COMP_WORKOVERS_FRAC.REDUCED_EMISSION_COMPLETIONS,EF_W_COMP_WORKOVERS_FRAC.TOTAL_COMPLETIONS,EF_W_COMP_WORKOVERS_FRAC.REDUCED_EMISSION_WORKOVERS,EF_W_COMP_WORKOVERS_FRAC.TOTAL_WORKOVERS,EF_W_COMP_WORKOVERS_FRAC.OIL_OR_GAS_WELL,EF_W_COMP_WORKOVERS_FRAC.EQUATION_USED,EF_W_COMP_WORKOVERS_FRAC.FLOW_VOLUME,EF_W_COMP_WORKOVERS_FRAC.FLOW_RATE,EF_W_COMP_WORKOVERS_FRAC.ANNUAL_CH4_EMISSIONS
Antero Resources - 160 - Appalachian Basin (Utica),1010718,2015,Table G.1,Gas Well Completions with Hydraulic Fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],160 - NOBLE  OH (121) - Shale gas,Horizontal,No,Yes,42,,,,Equation W-10B,0,0,0
CNX Gas Company LLC -160 Appalachian Basin,1008784,2015,Table G.1,Gas Well Completions with Hydraulic Fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],160 - NOBLE  OH (121) - Shale gas,Horizontal,No,Yes,1,,,,Equation W-10B,0,120000,9.889
CNX Gas Company LLC -160 Appalachian Basin,1008784,2015,Table G.1,Gas Well Completions with Hydraulic Fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],160 - NOBLE  OH (121) - Shale gas,Horizontal,No,Yes,1,,,,Equation W-10B,0,35780,.268
CNX Gas Company LLC -160 Appalachian Basin,1008784,2015,Table G.1,Gas Well Completions with Hydraulic Fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],160 - NOBLE  OH (121) - Shale gas,Horizontal,No,Yes,1,,,,Equation W-10B,0,87000,5.866
CNX Gas Company LLC -160 Appalachian Basin,1008784,2015,Table G.1,Gas Well Completions with Hydraulic Fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],160 - NOBLE  OH (121) - Shale gas,Horizontal,No,Yes,1,,,,Equation W-10B,0,18530,.555
CNX Gas Company LLC -160 Appalachian Basin,1008784,2015,Table G.1,Gas Well Completions with Hydraulic Fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],160 - NOBLE  OH (121) - Shale gas,Horizontal,No,Yes,1,,,,Equation W-10B,0,26070,3.515
CNX Gas Company LLC -160 Appalachian Basin,1008784,2015,Table G.1,Gas Well Completions with Hydraulic Fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],160 - NOBLE  OH (121) - Shale gas,Horizontal,No,Yes,1,,,,Equation W-10B,0,114730.4166667,22.347
CNX Gas Company LLC -160 Appalachian Basin,1008784,2015,Table G.1,Gas Well Completions with Hydraulic Fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],160 - NOBLE  OH (121) - Shale gas,Horizontal,No,Yes,1,,,,Equation W-10B,0,40400,.151
Nytis Exploration Company  LLC 160 Appalachian Basin,1008502,2015,Table G.1,Gas Well Completions with Hydraulic Fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],160 - PUTNAM  WV (79) - Shale gas,Vertical,Yes,No,1,,,,Equation W-10B,9450000,2.3,2.921
Enervest Operating  L.L.C. 160 Appalachian Basin,1009967,2015,Table G.1,Gas Well Completions with Hydraulic Fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],160 - TUSCARAWAS  OH (157) - Other tight reservoir rock,Horizontal,No,No,1,,,,Equation W-10A,,,0
Gulfport Energy Corp,1011239,2015,Table G.1,Gas Well Completions with Hydraulic Fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],160 - GUERNSEY  OH (59) - Shale gas,Horizontal,Yes,Yes,3,,,,Equation W-10B,467,38.9,.002
Ascent Resources - Utica (160),1011393,2015,Table G.1,Gas Well Completions with Hydraulic Fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],160 - GUERNSEY  OH (59) - Shale gas,Horizontal,No,Yes,19,,,,Equation W-10B,0,0,0
Hilcorp Appalachian Basin (Eastern Overthrust Area),1011995,2015,Table G.1,Gas Well Completions with Hydraulic Fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],160A - COLUMBIANA  OH (29) - High permeability gas,Horizontal,No,Yes,2,,,,Equation W-10B,101041.6666667,1712.5706215,1.515
Hilcorp Appalachian Basin (Eastern Overthrust Area),1011995,2015,Table G.1,Gas Well Completions with Hydraulic Fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],160A - COLUMBIANA  OH (29) - High permeability gas,Horizontal,Yes,Yes,2,,,,Equation W-10B,6199604.1666667,8881.2505207,1.859
Range Resources - Appalachia  LLC - Basin 160A,1008051,2015,Table G.1,Gas Well Completions with Hydraulic Fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],160A - ALLEGHENY  PA (3) - Shale gas,Horizontal,No,Yes,2,,,,Equation W-10B,0,396000,3.65
Chevron 160A Appalachian Basin,1009098,2015,Table G.1,Gas Well Completions with Hydraulic Fracturing,Onshore petroleum and natural gas production [98.230(a)(2)],160A - ARMSTRONG  PA (5) - Shale gas,Horizontal,No,Yes,2,,,,Equation W-10B,0,0,0
