EF_W_COMP_WORKOVERS_NO_FRAC.FACILITY_NAME,EF_W_COMP_WORKOVERS_NO_FRAC.FACILITY_ID,EF_W_COMP_WORKOVERS_NO_FRAC.REPORTING_YEAR,EF_W_COMP_WORKOVERS_NO_FRAC.TABLE_NUM,EF_W_COMP_WORKOVERS_NO_FRAC.TABLE_DESC,EF_W_COMP_WORKOVERS_NO_FRAC.INDUSTRY_SEGMENT,EF_W_COMP_WORKOVERS_NO_FRAC.SUB_BASIN_IDENTIFIER,EF_W_COMP_WORKOVERS_NO_FRAC.TOTAL_COMP_VENTED_NO_FLARING,EF_W_COMP_WORKOVERS_NO_FRAC.TOTAL_HOURS_COMP_NO_FLR,EF_W_COMP_WORKOVERS_NO_FRAC.ANNUAL_CH4_EMISSIONS_NO_FLR,EF_W_COMP_WORKOVERS_NO_FRAC.TOTAL_COMP_VENTED_TO_FLARE,EF_W_COMP_WORKOVERS_NO_FRAC.TOTAL_HOURS_VENTED_TO_FLARE,EF_W_COMP_WORKOVERS_NO_FRAC.ANNUAL_CH4_EMISSIONS_FLR,EF_W_COMP_WORKOVERS_NO_FRAC.WORKOVERS_WITHOUT_FLARING,EF_W_COMP_WORKOVERS_NO_FRAC.TOTAL_WORKOVERS_NO_FLARING,EF_W_COMP_WORKOVERS_NO_FRAC.CH4_EMISSIONS_WKOVR_NO_FLARING,EF_W_COMP_WORKOVERS_NO_FRAC.TOTAL_WORKOVERS_WITH_FLARING,EF_W_COMP_WORKOVERS_NO_FRAC.CH4_EMISSIONS_WKOVR_FLARING
EQT Production  LLC - Basin 160 - Appalachian,1009308,2015,Table H.1,Gas well completions WITHOUT hydraulic fracturing (without flaring),Onshore petroleum and natural gas production [98.230(a)(2)],160 - KNOTT  KY (119) - Shale gas,8,2251.7,303.424,,,,,,,,
EQT Production  LLC - Basin 160 - Appalachian,1009308,2015,Table H.1,Gas well completions WITHOUT hydraulic fracturing (without flaring),Onshore petroleum and natural gas production [98.230(a)(2)],160 - PERRY  KY (193) - Shale gas,6,652.5,215.327,,,,,,,,
EQT Production  LLC - Basin 160 - Appalachian,1009308,2015,Table H.1,Gas well completions WITHOUT hydraulic fracturing (without flaring),Onshore petroleum and natural gas production [98.230(a)(2)],160 - PIKE  KY (195) - Shale gas,15,1342,341.237,,,,,,,,
EQT Production  LLC - Basin 160 - Appalachian,1009308,2015,Table H.1,Gas well completions WITHOUT hydraulic fracturing (without flaring),Onshore petroleum and natural gas production [98.230(a)(2)],160 - PIKE  KY (195) - Other tight reservoir rock,2,666.5,158.954,,,,,,,,
EQT Production  LLC - Basin 160 - Appalachian,1009308,2015,Table H.1,Gas well completions WITHOUT hydraulic fracturing (without flaring),Onshore petroleum and natural gas production [98.230(a)(2)],160 - FLOYD  KY (71) - Shale gas,12,1462.5,320.311,,,,,,,,
Pennsylvania General Energy Company LLC,1008882,2015,Table H.1,Gas well completions WITHOUT hydraulic fracturing (without flaring),Onshore petroleum and natural gas production [98.230(a)(2)],160A - INDIANA  PA (63) - High permeability gas,1,29,11.277,,,,,,,,
EQT Production  LLC - Basin 160A - Appalachian Eastern Overthrust,1010233,2015,Table H.1,Gas well completions WITHOUT hydraulic fracturing (without flaring),Onshore petroleum and natural gas production [98.230(a)(2)],160A - LETCHER  KY (133) - Shale gas,1,105,32.88,,,,,,,,
BBX 220 Gulf Coast Basin,1011749,2015,Table H.1,Gas well completions WITHOUT hydraulic fracturing (without flaring),Onshore petroleum and natural gas production [98.230(a)(2)],220 - JASPER  TX (241) - High permeability gas,2,11,14.675,,,,,,,,
XTO Energy Inc 220 Gulf Coast,1009386,2015,Table H.1,Gas well completions WITHOUT hydraulic fracturing (without flaring),Onshore petroleum and natural gas production [98.230(a)(2)],220 - LAVACA  TX (285) - High permeability gas,0,0,0,,,,,,,,
Mission Creek OpCo  LLC - Arkla Basin,1010318,2015,Table H.1,Gas well completions WITHOUT hydraulic fracturing (without flaring),Onshore petroleum and natural gas production [98.230(a)(2)],230 - COLUMBIA  AR (27) - Oil,0,0,0,,,,,,,,
Mission Creek OpCo  LLC - Arkla Basin,1010318,2015,Table H.1,Gas well completions WITHOUT hydraulic fracturing (without flaring),Onshore petroleum and natural gas production [98.230(a)(2)],230 - LAFAYETTE  AR (73) - Oil,0,0,0,,,,,,,,
Riviera Resources 260 East Texas Basin Production Segment,1010396,2015,Table H.1,Gas well completions WITHOUT hydraulic fracturing (without flaring),Onshore petroleum and natural gas production [98.230(a)(2)],260 - LIMESTONE  TX (293) - High permeability gas,0,0,0,,,,,,,,
Riviera Resources 260 East Texas Basin Production Segment,1010396,2015,Table H.1,Gas well completions WITHOUT hydraulic fracturing (without flaring),Onshore petroleum and natural gas production [98.230(a)(2)],260 - ROBERTSON  TX (395) - High permeability gas,0,0,0,,,,,,,,
Riviera Resources 260 East Texas Basin Production Segment,1010396,2015,Table H.1,Gas well completions WITHOUT hydraulic fracturing (without flaring),Onshore petroleum and natural gas production [98.230(a)(2)],260 - SMITH  TX (423) - High permeability gas,0,0,0,,,,,,,,
Riviera Resources 260 East Texas Basin Production Segment,1010396,2015,Table H.1,Gas well completions WITHOUT hydraulic fracturing (without flaring),Onshore petroleum and natural gas production [98.230(a)(2)],260 - UPSHUR  TX (459) - High permeability gas,0,0,0,,,,,,,,
XTO Energy Inc 260 East Texas,1008079,2015,Table H.1,Gas well completions WITHOUT hydraulic fracturing (without flaring),Onshore petroleum and natural gas production [98.230(a)(2)],260 - SHELBY  TX (419) - Shale gas,2,0,27.23,,,,,,,,
Breitburn Operating LP 260 East Texas,1009811,2015,Table H.1,Gas well completions WITHOUT hydraulic fracturing (without flaring),Onshore petroleum and natural gas production [98.230(a)(2)],260 - CHEROKEE  TX (73) - Other tight reservoir rock,0,0,0,,,,,,,,
Valence Operating Co 260 East Texas Basin,1008587,2015,Table H.1,Gas well completions WITHOUT hydraulic fracturing (without flaring),Onshore petroleum and natural gas production [98.230(a)(2)],260 - CHEROKEE  TX (73) - Other tight reservoir rock,1,24,1.29,,,,,,,,
XTO Energy Inc 260 East Texas,1008079,2015,Table H.1,Gas well completions WITHOUT hydraulic fracturing (without flaring),Onshore petroleum and natural gas production [98.230(a)(2)],260 - FREESTONE  TX (161) - Other tight reservoir rock,0,0,0,,,,,,,,
Valence Operating Co 260 East Texas Basin,1008587,2015,Table H.1,Gas well completions WITHOUT hydraulic fracturing (without flaring),Onshore petroleum and natural gas production [98.230(a)(2)],260 - HARRISON  TX (203) - Other tight reservoir rock,8,264,212.99,,,,,,,,
Valence Operating Co 260 East Texas Basin,1008587,2015,Table H.1,Gas well completions WITHOUT hydraulic fracturing (without flaring),Onshore petroleum and natural gas production [98.230(a)(2)],260 - HOPKINS  TX (223) - Other tight reservoir rock,1,24,.108,,,,,,,,
XTO Energy Inc 260 East Texas,1008079,2015,Table H.1,Gas well completions WITHOUT hydraulic fracturing (without flaring),Onshore petroleum and natural gas production [98.230(a)(2)],260 - LEON  TX (289) - Other tight reservoir rock,0,0,0,,,,,,,,
Riviera Resources 260 East Texas Basin Production Segment,1010396,2015,Table H.1,Gas well completions WITHOUT hydraulic fracturing (without flaring),Onshore petroleum and natural gas production [98.230(a)(2)],260 - LIMESTONE  TX (293) - Other tight reservoir rock,0,0,0,,,,,,,,
Riviera Resources 260 East Texas Basin Production Segment,1010396,2015,Table H.1,Gas well completions WITHOUT hydraulic fracturing (without flaring),Onshore petroleum and natural gas production [98.230(a)(2)],260 - LIMESTONE  TX (293) - Other tight reservoir rock,0,0,0,,,,,,,,
XTO Energy Inc 260 East Texas,1008079,2015,Table H.1,Gas well completions WITHOUT hydraulic fracturing (without flaring),Onshore petroleum and natural gas production [98.230(a)(2)],260 - LIMESTONE  TX (293) - Other tight reservoir rock,0,0,0,,,,,,,,
XTO Energy Inc 260 East Texas,1008079,2015,Table H.1,Gas well completions WITHOUT hydraulic fracturing (without flaring),Onshore petroleum and natural gas production [98.230(a)(2)],260 - PANOLA  TX (365) - Other tight reservoir rock,0,0,0,,,,,,,,
