Component,Mass rate [kg/d]
COMP,0.016685443
COMP,0.403674045
COMP,0.575950685
VENT,0.000897469
VENT,0.004569613
VENT,0.019430202
VENT,0.033101646
VENT,0.002138968
VENT,0.140431451
VENT,0.152218209
VENT,0.485971946
FLANGE,0.002572744
FLANGE,0.015714681
FLANGE,0.020715827
FLANGE,0.056831472
FLANGE,0.47150026
FLANGE,2.908397641
FLANGE,8.97468E-05
FLANGE,0.001291159
FLANGE,0.004988432
FLANGE,0.007538739
FLANGE,0.039877536
FLANGE,0.048186603
FLANGE,0.061770543
FLANGE,0.101107354
FLANGE,0.210942593
FLANGE,0.224808488
FLANGE,0.293532171
FLANGE,0.305303972
FLANGE,0.410188174
FLANGE,0.553603709
FLANGE,0.731100626
FLANGE,1.106773641
FLANGE,1.488684064
FLANGE,1.753684202
CONN,6.73101E-05
CONN,0.000306635
CONN,0.000310075
CONN,0.00041134
CONN,0.001043681
CONN,0.001062005
CONN,0.001809896
CONN,0.004487345
CONN,0.006319677
CONN,0.006618833
CONN,0.010222919
CONN,0.010485429
CONN,0.013637788
CONN,0.014636222
CONN,0.015294366
CONN,0.019367379
CONN,0.019755535
CONN,0.025301145
CONN,0.030581254
CONN,0.032690306
CONN,0.04279431
CONN,0.045491952
CONN,0.04679403
CONN,0.050122144
CONN,0.055724594
CONN,0.063226686
CONN,0.065298343
CONN,0.07347279
CONN,0.080749767
CONN,0.098497215
CONN,0.117336584
CONN,0.170489181
CONN,0.174064099
CONN,0.280249631
CONN,0.343356654
CONN,0.343700684
CONN,0.392201401
CONN,0.473699058
CONN,0.985248869
CONN,1.241020034
CONN,2.59083574
CONN,0.22472622
CONN,0.528848524
CONN,0.000209409
CONN,0.001540655
CONN,0.002490476
CONN,0.003265291
CONN,0.005265151
CONN,0.005904523
CONN,0.007561176
CONN,0.013447076
CONN,0.015531448
CONN,0.020670205
CONN,0.032957303
CONN,0.036325055
CONN,0.045757453
CONN,0.047363923
CONN,0.04813425
CONN,0.049121466
CONN,0.061274691
CONN,0.084997786
CONN,0.092319637
CONN,0.111338499
CONN,0.12536893
CONN,0.144604681
CONN,0.175470133
CONN,0.272224763
CONN,0.330687385
CONN,0.556423257
CONN,0.574260452
CONN,0.585134784
CONN,0.888942974
CONN,1.098823562
CONN,1.701967555
VALVE,0.000396382
VALVE,0.000403861
VALVE,0.000568397
VALVE,0.001507449
VALVE,0.001705191
VALVE,0.002266184
VALVE,0.003014
VALVE,0.003856274
VALVE,0.004275467
VALVE,0.005833099
VALVE,0.007229785
VALVE,0.007316167
VALVE,0.00757015
VALVE,0.007590343
VALVE,0.008264193
VALVE,0.008675533
VALVE,0.009326198
VALVE,0.009350878
VALVE,0.009814571
VALVE,0.010021736
VALVE,0.010732233
VALVE,0.011248277
VALVE,0.011614744
VALVE,0.011622223
VALVE,0.012519692
VALVE,0.015758059
VALVE,0.01690981
VALVE,0.01868979
VALVE,0.022223574
VALVE,0.022361934
VALVE,0.023545845
VALVE,0.02534901
VALVE,0.027806579
