O/G,n_VENT,TB_VRU,TB_VENT,TB_FLARE,TB_DUMP,n_DUMP
Oil,0,0.161917808,,,,0
Oil,0,0.229178082,,,,0
Gas,2,,1.360273973,,,0
Gas,2,,0.854794521,,,0
Gas,2,,0.921917808,,,0
Gas,2,,1.406849315,,,0
Gas,0,,,0.02114471,,0
Gas,0,0,,0.000968904,,0
Gas,0,0,,0.001020594,,0
Gas,0,0,,0.000783927,,0
Gas,0,0,,0.001288402,,0
Gas,0,0,,0.001032466,,0
Gas,0,0,,0.002168767,,0
Gas,0,0,,0.010191404,,0
Gas,0,0,,0.008160856,,0
Gas,0,0,,0.010663185,,0
Gas,0,,,,,0
Gas,0,,,,,0
Gas,0,0,,0.007222877,,0
Gas,0,0,,0.003531142,,0
Gas,0,0,,0.003725845,,0
Gas,0,0,,0.004163219,,0
Gas,0,0,,0.004722432,,0
Gas,0,0,,0.006359178,,0
Gas,0,0,,0.005004966,,0
Gas,0,0,,0.005437021,,0
Gas,0,0,,0.005832557,,0
Gas,0,0,,0.006739178,,0
Gas,0,0,,0.006296758,,0
Gas,0,0,,0.005095023,,0
Gas,0,0,,0.001151644,,0
Gas,0,0,,0.00085874,,0
Gas,0,0,,0.00061274,,0
Gas,0,,,,,0
Gas,0,,,0.001456438,,0
Gas,0,,,,,0
Gas,0,,,,,0
Gas,0,0.010273973,,,,0
Gas,0,0.073059361,,,,0
Gas,0,0.060273973,,,,0
Gas,0,,,0.059051059,,0
Gas,0,0,,0.013046314,,0
Gas,0,0.001872403,,,,0
Gas,0,,,0.017321315,,0
Gas,3,,0.812785388,,,0
Gas,0,0,,0.223696758,,0
Gas,1,,0.383561644,,,0
Gas,0,0,,0.001161233,,0
Gas,0,0.093150685,,,,0
Gas,0,0.04437211,,0.06536126,,0
Gas,0,,,0.025169744,,0
Gas,0,,,0.031067609,,0
Gas,0,,,0.041948248,,0
Gas,0,0,,0.018732877,,0
Gas,0,,,0.070427051,,0
Gas,0,,,0.540676027,,0
Gas,0,,,0.106118411,,0
Gas,0,,,0.001157436,,0
Gas,0,,,0.357330502,,0
Gas,0,,,3.654401461,,0
Gas,0,,,0.215951416,,0
Gas,0,,,0.757751507,,0
Gas,0,,,1.399704612,,0
Gas,0,,,1.718554201,,0
Gas,0,,,0.835036952,,0
Gas,0,,,0.339534247,,0
Gas,0,,,0.002317192,,0
Gas,0,0,,0.646028865,,0
Gas,0,0,,,,0
Gas,0,,,0.004734269,,0
Gas,0,0,,0.003106265,,0
Oil,0,,,0.259329239,,0
Oil,0,,,1.255027689,,0
Oil,0,,,0.808219178,,0
Oil,0,,,0.124232404,,0
Oil,0,,,0.936073059,,0
Oil,24,,1.581100457,0.043353555,,0
Oil,0,,,0.051287671,,0
Oil,8,,4.129986301,0.063930219,,0
Gas,0,,,0.076604962,,0
Gas,0,0,,0.002018265,,0
Gas,0,,,2.322635822,,0
Gas,0,,,0.165465708,,0
Gas,0,,,4.494747854,,0
Gas,0,,,0.030129331,,0
Gas,0,0,,0.000750685,,0
Gas,0,,,0.184226301,,0
Gas,0,0,,0,,0
Gas,0,,,0.047889986,,0
Gas,0,,,1.55001771,,0
Gas,0,0,,0.021193699,,0
