O/G,TB_SMALL_VENT,TB_SMALL_FLARE
Gas,0.158334816,
Oil,3.178082192,
Gas,0.077521793,
Gas,0.476358816,
Gas,1.447728911,
Gas,0.035958904,
Oil,0.575342466,
Gas,20.12328767,
Oil,0.048743592,
Oil,0.595890411,
Gas,0.025992273,
Gas,0.109589041,
Oil,0.146118721,
Oil,6,
Gas,0.058219178,
Gas,0.219178082,
Oil,2.082191781,
Gas,1.305936073,
Gas,0.37260274,
Gas,0.219178082,
Oil,0.465753425,
Oil,0.219178082,
Gas,0.662794521,
Oil,2.777424658,
Gas,24.37961644,
Gas,0.001996369,
Oil,0.185161644,
Gas,0.441863014,
Oil,0.740646575,
Gas,19.21052055,
Gas,0.002519288,
Oil,0.438356164,
Oil,0.310502283,
Gas,14.82191781,
Gas,0.120797011,
Oil,0.019058964,
Oil,0.643835616,
Oil,0.035608008,
Gas,24.53391781,
Gas,0.747143475,
Gas,0.704419297,
Gas,2.005917808,
Oil,29.7981064,
Gas,0.01120195,
Gas,1.388712329,
Gas,0.716191264,
Oil,51.70977614,
Gas,0.138192348,
Gas,0.00084816,
Oil,70.82410959,
Gas,0.092833692,
Gas,0.029354207,
Gas,2.328767123,
Gas,0.69752674,
Gas,0.657025188,
Gas,0.024543379,
Oil,0.365296804,
Oil,0.706849315,
Oil,0.023071377,
Oil,2.376712329,
Oil,0.088920932,
Oil,2.104607721,
Gas,0.064888248,
Gas,0.46290411,
Gas,8.023671233,
Gas,0.712160169,
Gas,0.138871233,
Gas,1.851616438,
Gas,1.851616438,
Gas,0.694356164,
Gas,15.53300457,
Gas,0.220722489,
Gas,0.128584475,
Gas,0.555484932,
Gas,0.617205479,
Gas,0.161010125,
Gas,2.005917808,
Gas,1.610101251,
Gas,1.059536073,
Gas,0.001589435,
Oil,1.851616438,
Gas,0.46290411,
Gas,0.220931507,
Oil,0.694356164,
Gas,3.587506849,
Gas,0.155785037,
Oil,0.011719091,
Gas,0.055232877,
Oil,0.46290411,
Gas,0.46290411,
Gas,26.84843836,
Gas,0.003753049,
Oil,0.821917808,
Gas,1.917808219,
