O/G,n_VENT,TB_SMALL_VENT,TB_SMALL_FLARE
Gas,77,0.158334816,
Oil,36,3.178082192,
Gas,352,0.077521793,
Gas,31,0.476358816,
Gas,19,1.447728911,
Gas,32,0.035958904,
Oil,2,0.575342466,
Gas,2,20.12328767,
Oil,163,0.048743592,
Oil,36,0.595890411,
Gas,78,0.025992273,
Gas,6,0.109589041,
Oil,3,0.146118721,
Oil,2,6,
Gas,16,0.058219178,
Gas,1,0.219178082,
Oil,1,2.082191781,
Gas,3,1.305936073,
Gas,5,0.37260274,
Gas,2,0.219178082,
Oil,2,0.465753425,
Oil,1,0.219178082,
Gas,1,0.662794521,
Oil,4,2.777424658,
Gas,12,24.37961644,
Gas,332,0.001996369,
Oil,5,0.185161644,
Gas,2,0.441863014,
Oil,5,0.740646575,
Gas,4,19.21052055,
Gas,87,0.002519288,
Oil,1,0.438356164,
Oil,3,0.310502283,
Gas,1,14.82191781,
Gas,22,0.120797011,
Oil,23,0.019058964,
Oil,12,0.643835616,
Oil,52,0.035608008,
Gas,2,24.53391781,
Gas,57,0.747143475,
Gas,46,0.704419297,
Gas,36,2.005917808,
Oil,86,29.7981064,
Gas,2810,0.01120195,
Gas,34,1.388712329,
Gas,53,0.716191264,
Oil,41,51.70977614,
Gas,2318,0.138192348,
Gas,261,0.00084816,
Oil,2,70.82410959,
Gas,121,0.092833692,
Gas,28,0.029354207,
Gas,2,2.328767123,
Gas,73,0.69752674,
Gas,62,0.657025188,
Gas,48,0.024543379,
Oil,3,0.365296804,
Oil,10,0.706849315,
Oil,38,0.023071377,
Oil,4,2.376712329,
Oil,57,0.088920932,
Oil,22,2.104607721,
Gas,57,0.064888248,
Gas,6,0.46290411,
Gas,3,8.023671233,
Gas,26,0.712160169,
Gas,20,0.138871233,
Gas,3,1.851616438,
Gas,6,1.851616438,
Gas,12,0.694356164,
Gas,9,15.53300457,
Gas,151,0.220722489,
Gas,36,0.128584475,
Gas,5,0.555484932,
Gas,3,0.617205479,
Gas,23,0.161010125,
Gas,6,2.005917808,
Gas,23,1.610101251,
Gas,90,1.059536073,
Gas,139,0.001589435,
Oil,1,1.851616438,
Gas,2,0.46290411,
Gas,2,0.220931507,
Oil,4,0.694356164,
Gas,8,3.587506849,
Gas,78,0.155785037,
Oil,158,0.011719091,
Gas,4,0.055232877,
Oil,2,0.46290411,
