O/G,N_WELL,N_TANK
Oil,2,7
Oil,1,2
Gas,1,2
Gas,1,2
Gas,1,1
Gas,1,2
Gas,71,114
Gas,6,6
Gas,6,6
Gas,6,6
Gas,6,6
Gas,6,6
Gas,6,6
Gas,8,8
Gas,8,8
Gas,8,8
Gas,6,6
Gas,6,6
Gas,6,6
Gas,6,6
Gas,6,6
Gas,8,8
Gas,8,8
Gas,8,8
Gas,8,8
Gas,8,8
Gas,6,6
Gas,6,6
Gas,6,6
Gas,6,6
Gas,10,10
Gas,10,10
Gas,10,10
Gas,2,2
Gas,6,7
Gas,6,6
Gas,2,2
Gas,1,4
Gas,1,3
Gas,1,3
Gas,7,30
Gas,12,21
Gas,11,11
Gas,25,50
Gas,1,3
Gas,9,12
Gas,1,1
Gas,9,8
Gas,1,3
Gas,9,15
Gas,32,23
Gas,19,31
Gas,38,38
Gas,6,4
Gas,5,19
Gas,4,4
Gas,9,10
Gas,13,14
Gas,6,6
Gas,6,6
Gas,5,6
Gas,12,12
Gas,6,6
Gas,6,6
Gas,7,8
Gas,3,2
Gas,4,4
Gas,20,28
Gas,2,8
Gas,31,62
Gas,38,68
Oil,4,58
Oil,150,94
Oil,2,2
Oil,10,58
Oil,82,42
Oil,287,276
Oil,1,3
Oil,113,125
Gas,35,45
Gas,16,9
Gas,3,4
Gas,10,12
Gas,5,6
Gas,6,17
Gas,6,5
Gas,1,2
Gas,329,403
Gas,98,196
Gas,13,14
Gas,2,2
Gas,6,6
Gas,6,6
Gas,6,6
Gas,10,15
Gas,11,11
Gas,1,1
Gas,2,2
Gas,2,2
Gas,2,2
Gas,17,12
Gas,24,4
Oil,8,8
Oil,10,10
Oil,8,8
Oil,9,9
Oil,0,0
Oil,4,4
Oil,3,12
Oil,233,55
Oil,142,307
Oil,49,111
Oil,3,12
Oil,31,2
Oil,45,106
Oil,5,14
Oil,2,2
Oil,6,2
Oil,1,4
Oil,9,2
Oil,3,3
Oil,8,8
Oil,8,4
Oil,2,2
Oil,90,263
Oil,7,3
Oil,27,41
Oil,24,39
Oil,7,20
Oil,35,69
Oil,10,7
Oil,2,4
Oil,21,63
Oil,15,27
Oil,175,299
Oil,67,186
Oil,17,10
Oil,11,11
Oil,44,15
Oil,1,2
Oil,0,0
Oil,27,35
Oil,130,10
Oil,9,17
Oil,16,16
Oil,10,16
Oil,7,7
Oil,31,1
Oil,3,2
Oil,2,9
Oil,1,1
Oil,202,602
Oil,26,28
Oil,2,8
Oil,13,23
Oil,5,20
Oil,25,34
Oil,2,5
Oil,390,1042
Oil,1,0
Oil,5,4
Oil,31,112
Oil,447,1383
Oil,37,56
Oil,12,18
Oil,22,39
Oil,9,1
Oil,7,4
Oil,2,2
Oil,7,7
Oil,2,6
Oil,9,9
Oil,52,151
Oil,25,6
Oil,52,87
Oil,2,2
Oil,2,8
Oil,1,2
Oil,14,51
Oil,101,237
Oil,13,30
Oil,18,18
Oil,4,4
Oil,6,8
Oil,11,33
Oil,19,68
Oil,7,21
Oil,117,117
Oil,118,63
Oil,75,135
Oil,1,3
Oil,11,18
Oil,4,9
Oil,1,1
Oil,6,16
Oil,15,32
Oil,2,8
Oil,312,19
Oil,56,2
Oil,3,3
Oil,12,3
Oil,1,1
Oil,24,19
Oil,141,4
Oil,6,6
Gas,3,8
Gas,1,3
Gas,1,4
Gas,24,71
Gas,89,267
Gas,45,64
Gas,9,29
Gas,2,4
Gas,10,8
Gas,1,1
Gas,5,20
Gas,30,90
Gas,124,5
Gas,100,311
Gas,139,107
Gas,6,18
Gas,111,248
Gas,180,65
Gas,180,16
Gas,180,17
Gas,56,158
Gas,25,10
Gas,44,102
Gas,12,3
Gas,3,9
Gas,10,15
Gas,3,6
Gas,3,9
Gas,20,47
Gas,158,413
Gas,10,15
Gas,671,40
Gas,671,30
Gas,671,55
Gas,75,228
Gas,1,3
Gas,1,2
Gas,3,4
Gas,1,1
