OG,N_WELL,N_TANK
Gas,257,295
Gas,166,261
Oil,17,1
Gas,145,193
Oil,41,7
Gas,104,104
Gas,565,565
Oil,5,5
Gas,18,18
Oil,315,333
Oil,58,103
Oil,470,248
Gas,448,633
Oil,531,642
Oil,73,118
Oil,11,31
Gas,3,4
Gas,5403,5489
Gas,186,553
Gas,500,384
Gas,442,218
Oil,6,15
Gas,100,200
Gas,271,327
Gas,3,2
Oil,59,59
Gas,206,206
Gas,840,848
Oil,82,196
Oil,125,156
Oil,1,1
Oil,2,2
Oil,16,37
Oil,39,101
Gas,3,2
Oil,27,48
Gas,1052,149
Gas,217,217
Oil,11,11
Gas,16,22
Oil,154,158
Gas,41,1
Oil,359,622
Gas,20,17
Gas,172,271
Gas,48,38
Gas,108,91
Oil,41,41
Gas,507,349
Oil,31,34
Gas,242,103
Oil,121,239
Oil,8,2864
Oil,12,38
Gas,310,430
Gas,1051,333
Gas,345,284
Gas,108,108
Oil,64,64
Gas,290,156
Gas,68,114
Gas,1045,2772
Oil,28,133
Gas,108,339
Gas,1073,2495
Gas,75,191
Gas,38,130
Gas,2,2
Gas,572,656
Oil,5893,4995
Gas,64,86
Oil,91,220
Oil,63,174
Gas,802,1421
Gas,1810,1886
Oil,1259,890
Gas,60,60
Gas,972,121
Gas,741,242
Gas,82,173
Oil,900,1440
Gas,718,1306
Gas,115,83
Gas,20,10
Oil,52,52
Gas,108,107
Oil,131,5
Oil,4,15
Oil,247,390
Oil,274,365
Oil,444,427
Gas,1936,1750
Gas,4223,985
Gas,198,251
Oil,2,7
Oil,1727,559
Gas,132,74
Gas,148,148
Gas,1066,375
Gas,246,251
Gas,15,28
Oil,15,15
Oil,289,0
Gas,200,200
Oil,1709,1312
Gas,323,355
Oil,164,328
Gas,44,87
Gas,93,15
Oil,475,437
Gas,1,3
Gas,423,423
Gas,864,1001
Gas,1,1
Oil,13578,12
Gas,73,17
Gas,2,1
Oil,5,14
Gas,3,4
Gas,295,307
Gas,88,98
Oil,80,104
Oil,39,115
Gas,2,4
Oil,199,348
Gas,3880,6513
Gas,96,55
Oil,10,33
Oil,305,305
Gas,133,192
Gas,81,129
Gas,372,694
Oil,5,11
Oil,1,4
Gas,101,92
Oil,251,143
Gas,319,865
Oil,233,233
